Material,Eg_eV,Density_g_cm3,DOS_at_Ef,Conductivity_Proxy,Log_Sigma,Regime
DyCu,0.0,9.252456033522664,1.0305,9.534655942545106,0.9793050261804931,Metal
TmCu,0.0,9.957644131369328,0.9632,9.591202827334936,0.9818730752165999,Metal
ZnCu,0.0,8.595904802600606,0.507,4.358123734918507,0.6392995564914431,Metal
CuPt7,0.0,19.904978425895916,11.2213,223.35973441050584,2.349004884538711,Metal
Al2Cu,0.0,4.15061559653069,0.8751,3.6322037085240066,0.5601701975171124,Metal
Be2Cu,0.0,5.10934824228532,0.882,4.506445149695652,0.653834089418685,Metal
CuSe2,0.0,6.278833065582114,3.0819,19.350735624817517,1.2866974795239132,Metal
CuTe,0.0,6.705417526165807,1.7067,11.444136091907183,1.0585830137309462,Metal
LaCu,0.0,6.831836988906524,1.2766,8.721523100038068,0.9405923354168664,Metal
PrCu,0.0,7.12807082768869,7.5263,53.64799947043339,1.7295535317985753,Metal
YCu,0.0,5.901584659026581,5.4888,32.392617876465096,1.5104460478373964,Metal
EuCu,0.0,7.117828859050266,4.7367,33.71501995666339,1.5278234210824988,Metal
Ca2Cu,0.0,2.604060467458636,9.3575,24.367495824244184,1.386810900315243,Metal
NdCu,0.0,7.412491979989147,3.0503,22.610324286560896,1.3543067912218485,Metal
YbCu,0.0,9.863450015456952,3.7605,37.091503783125866,1.5692744410805093,Metal
CaCu,0.0,3.642594156506216,19.1828,69.87515518542745,1.8443227854188933,Metal
SmCu,0.0,7.921232366646332,2.6353,20.87482365582308,1.3196228153851963,Metal
CuS,0.0,4.754606456722273,3.5574,16.914037009143815,1.2282472765267833,Metal
CuSe,0.0,6.043223434231278,4.0644,24.562077326089607,1.3902650942749046,Metal
Mg2Cu,0.0,3.515311242798812,3.513,12.349288395952225,1.0916419329340061,Metal
Cu(PtS2)2,0.1401,7.711976830434304,0.0,0.5131997925186008,-0.2897135277932422,Semiconductor
NdAl3Cu,0.0,5.089551753474695,1.335,6.794551590888718,0.8321608005850524,Metal
CeAl3Cu,0.0,4.980354881022077,8.6946,43.30219354853455,1.6365098968600256,Metal
PrAl3Cu,0.0,4.970010433727597,1.3555,6.736849142917758,0.828456822387785,Metal
LaAl3Cu,0.0,4.816332684604213,1.4551,7.008245689367591,0.8456093185752191,Metal
GdAl3Cu,0.0,5.496854317533845,1.5052,8.273865118751944,0.9177084367171217,Metal
TiCuNi,0.0,7.458024343143517,1.6629,12.401948680213355,1.093489929889271,Metal
SmAl3Cu,0.0,5.29894394453913,1.2753,6.757743212470753,0.8298016849999359,Metal
CuAuSe4,0.0,7.090108248170171,0.1259,0.8926446284446247,-0.0493214040223216,Metal
Cu(IO3)2,0.49990000000000007,5.346500569506531,0.0,0.00033788552602866367,-3.4712302831265958,Semiconductor
CuReO4,1.495299999999999,5.554785716703551,0.0,1.5266112390455547e-12,-9.99342010947965,Semiconductor
In5CuSe8,0.45480000000000004,5.338320496587291,0.0,0.0008071555699016123,-3.093042698165824,Semiconductor
AlCuBr4,2.1451000000000002,3.90662851528565,0.1085,3.73560753566969e-18,-9.999999983776464,Semiconductor
AlCuCl4,2.5112,2.618109351579225,0.0,2.1047686150258065e-21,-9.999999999990859,Semiconductor
GaCuCl4,1.8173,3.072597002824603,1.0385,1.6660059613550267e-15,-9.999992764688312,Semiconductor
Eu2CuTe4,0.0,7.273868107159447,3.6045000000000003,26.21865759225623,1.4186104518408373,Metal
YbGa3Cu,0.0,8.702399182794123,1.8339,15.959329861326143,1.2030146512004851,Metal
SmGa3Cu,0.0,7.8341061908518945,1.2746,9.985351750859824,0.9993633682362805,Metal
NdGa3Cu,0.0,7.5740154887527265,1.805,13.67109795719867,1.1358033951565374,Metal
LaGa3Cu,0.0,7.181441620912353,2.7465,19.72382941183578,1.2949912377358317,Metal
EuGa3Cu,0.0,7.5183693643355785,2.1887,16.45545502772128,1.2163098959491172,Metal
DyGa3Cu,0.0,8.318990921798845,1.0709,8.908807378154382,0.9498195689402997,Metal
CeGa3Cu,0.0,7.417516501630848,3.7194000000000003,27.588710876165777,1.440731407894764,Metal
Hf4CuSi4,0.0,10.090834867898057,3.5131,35.450111974412664,1.549617611305719,Metal
ScCuSe2,0.6646000000000001,5.312582327309131,0.0,1.388287806901333e-05,-4.8575173623963925,Semiconductor
NaCuO2,0.49970000000000003,4.344419879857045,0.0,0.00027562069232745743,-3.5596880231487766,Semiconductor
MnCuO2,0.17869999999999903,5.435675009466814,0.0,0.17144444839939108,-0.765876573104389,Semiconductor
CuAuO2,0.0,9.650563171907995,2.0515,19.798130347169252,1.2966241792411863,Metal
CuBS2,1.742499999999999,4.097111183417321,0.0004,9.440383792531907e-15,-9.99995900286923,Semiconductor
TlCuSe2,0.0,6.8821496151277834,0.2133,1.4679625129067562,0.16671496525159032,Metal
InCuTe2,0.0,5.934814121617388,0.0,0.0,-10.0,Metal
InCuS2,0.0,4.75031640288757,0.3561,1.6915876710682638,0.2282945112093725,Metal
InCuSe2,0.0,5.683753701601714,0.0834,0.47402505871358297,-0.3241986992187405,Metal
GaCuTe2,0.205799999999999,5.910200069415345,0.0,0.11036326371779916,-0.9571754644351468,Semiconductor
GaCuSe2,0.0398,5.545702568288753,0.0,2.5681797950915826,0.40962542489768305,Semiconductor
Cu(BO2)2,0.0,4.001008857091995,5.3638,21.460611307670046,1.3316420887301195,Metal
AlCuS2,1.6756,3.50773727814024,0.0815,2.947933611814968e-14,-9.999871991737002,Semiconductor
GaCuS2,0.7056,4.413158152577409,0.0,5.2180933328711455e-06,-5.282479834426354,Semiconductor
AlCuSe2,0.8921999999999991,4.7813858384767585,0.0,1.5304666591751735e-07,-6.814892453570995,Semiconductor
